,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
1,Phan Thiet,VN,83.68,broken clouds,10.9333,108.1,Hotel Saigon-PT
3,Atuona,PF,76.69,clear sky,-9.8,-139.0333,Villa Enata
4,Bambous Virieux,MU,77.25,broken clouds,-20.3428,57.7575,Casa Tia Villa
5,Mahebourg,MU,77.29,broken clouds,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
7,Hilo,US,79.29,clear sky,19.7297,-155.09,Hilo Hawaiian Hotel
9,Hithadhoo,MV,82.13,overcast clouds,-0.6,73.0833,Scoop Guest House
14,Sitangkai,PH,82.98,moderate rain,4.6628,119.3928,Ama House
16,Joshimath,IN,75.94,few clouds,30.5667,79.5667,Shivalik Camps & Resort
19,Souillac,MU,77.38,broken clouds,-20.5167,57.5167,Shanti Maurice Resort & Spa
21,Bathsheba,BB,79.41,scattered clouds,13.2167,-59.5167,Atlantis Hotel
24,Balikpapan,ID,83.39,few clouds,-1.2675,116.8289,Swiss-Belhotel Balikpapan
27,Hun,LY,76.87,clear sky,29.1268,15.9477,Alrwasi Hotel
35,Kavieng,PG,83.48,broken clouds,-2.5744,150.7967,Nusa Island Retreat
39,Abu Samrah,SY,88.61,clear sky,35.3029,37.1841,
40,Alyangula,AU,82.18,overcast clouds,-13.8483,136.4192,Groote Eylandt Lodge
48,Hambantota,LK,88.14,scattered clouds,6.1241,81.1185,Bungalow 63
51,Meulaboh,ID,82.85,light rain,4.1363,96.1285,Kost Pria
61,Sungairaya,ID,78.98,overcast clouds,0.7,108.9,Rumah Kuku Moimoi Shelly
65,Fare,PF,78.62,clear sky,-16.7,-151.0167,Maitai Lapita Village Huahine
66,Coxim,BR,76.6,overcast clouds,-18.5067,-54.76,Rancho Da Curica
71,Kapaa,US,77.32,broken clouds,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
82,Semporna,MY,84.31,scattered clouds,4.4818,118.6112,"Han Palace Hotel, Semporna, Sabah."
87,Olutanga,PH,84.16,overcast clouds,7.3106,122.8464,Morales Lodge
90,Fukue,JP,79.16,few clouds,32.6881,128.8419,Goto Guesthouse Utojuku & SA Car Rental
94,Dunda,TZ,86.77,overcast clouds,-8.1167,34.25,
103,Erzin,TR,85.39,clear sky,36.9559,36.2,Artemis Otel
107,Hobyo,SO,82.94,few clouds,5.3505,48.5268,Halane Hotel and Restaurent
114,La Asuncion,VE,80.33,overcast clouds,11.0333,-63.8628,Colinas de Matasiete
115,Vaitape,PF,78.71,clear sky,-16.5167,-151.75,Conrad Bora Bora Nui
117,Vaini,TO,75.36,broken clouds,-21.2,-175.2,Keleti Beach Resort
123,Puri,IN,84.72,overcast clouds,19.8,85.85,OYO 1577 Hotel Shree Hari Grand
126,Butaritari,KI,81.97,few clouds,3.0707,172.7902,Isles Sunset Lodge
127,Hirara,JP,84.47,scattered clouds,24.8,125.2833,Hotel Atoll Emerald Miyakojima
128,Isangel,VU,76.59,broken clouds,-19.55,169.2667,Tanna Lodge
129,Linhai,CN,83.12,clear sky,28.85,121.1167,Linhai S&N International Hotel
131,Palauig,PH,83.84,overcast clouds,15.435,119.9045,Villa Raphael Resort
136,Keti Bandar,PK,86.16,few clouds,24.1447,67.4497,Haji laloo memon house
154,Buala,SB,81.09,light rain,-8.145,159.5921,Maringe Lagoon Lodge
155,Serik,TR,87.75,clear sky,36.9169,31.0989,Armas Belek - Ultra All Inclusive
156,Labuan,MY,84.56,thunderstorm,5.2767,115.2417,Tiara Labuan Hotel
162,Salalah,OM,82.49,broken clouds,17.0151,54.0924,"HAMDAN PLAZA HOTEL SALALAH, an HTG Hotel"
165,Kahului,US,78.82,overcast clouds,20.8947,-156.47,Maui Seaside Hotel
166,Kroya,ID,79.25,overcast clouds,-7.6331,109.2461,Wisma Legoq Kost
167,Lorengau,PG,82.26,scattered clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
175,Terrasini,IT,79.72,few clouds,38.146,13.0844,Florio Park Hotel
177,Kirakira,SB,79.99,scattered clouds,-10.4544,161.9205,SanBiz Lodge
178,Bubaque,GW,80.92,light rain,11.2833,-15.8333,"Casa Dora, Bubaque"
187,Hasaki,JP,80.22,overcast clouds,35.7333,140.8333,Inubosaki Kanko Hotel
188,Cabo San Lucas,MX,80.51,broken clouds,22.8909,-109.9124,Hotel Tesoro Los Cabos
204,Port Blair,IN,86.04,broken clouds,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
208,Labuhan,ID,81.9,heavy intensity rain,-6.8844,112.2051,DoubleFAG
210,Japura,ID,83.62,overcast clouds,-0.3167,102.35,Rumah mbah Jamah
214,Jinxiang,CN,81.57,clear sky,27.4327,120.6062,Wolong Village
216,Yulara,AU,84.04,broken clouds,-25.2406,130.9889,Desert Gardens Hotel - Ayers Rock Resort
223,Ajaigarh,IN,89.96,overcast clouds,24.9,80.2667,Shakuntalam Garden & Homestay
224,Karratha,AU,79.41,clear sky,-20.7377,116.8463,ibis Styles Karratha
226,Kawambwa,ZM,88.36,scattered clouds,-9.7915,29.0791,Chembe Nsofu
227,Alice Town,BS,79.88,scattered clouds,25.7167,-79.3,Bimini Big Game Club Resort & Marina
231,Jieshi,CN,83.44,clear sky,22.8134,115.8257,Yuehai Hotel
234,Carutapera,BR,77.32,overcast clouds,-1.195,-46.02,Lidera
235,Touros,BR,75.63,few clouds,-5.1989,-35.4608,INN NEW HORIZON
240,Kavaratti,IN,80.67,overcast clouds,10.5669,72.642,Green leaf
241,Manokwari,ID,81.77,broken clouds,-0.8667,134.0833,Swiss Belhotel Manokwari
242,Lahaina,US,78.8,broken clouds,20.8783,-156.6825,Lahaina Shores Beach Resort
