,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Thompson,CA,55.7435,-97.8558,51.96,82,0,5.75,clear sky
1,Phan Thiet,VN,10.9333,108.1,83.68,76,82,11.83,broken clouds
2,East London,ZA,-33.0153,27.9116,67.14,72,0,19.57,clear sky
3,Atuona,PF,-9.8,-139.0333,76.69,74,9,19.1,clear sky
4,Bambous Virieux,MU,-20.3428,57.7575,77.25,65,75,17.27,broken clouds
5,Mahebourg,MU,-20.4081,57.7,77.29,65,75,17.27,broken clouds
6,Songjianghe,CN,42.1859,127.479,48.81,97,100,10.13,heavy intensity rain
7,Hilo,US,19.7297,-155.09,79.29,90,0,4.61,clear sky
8,Valera,VE,9.3178,-70.6036,69.35,77,68,5.17,broken clouds
9,Hithadhoo,MV,-0.6,73.0833,82.13,68,94,15.17,overcast clouds
10,Fortuna,US,40.5982,-124.1573,58.93,84,0,1.99,clear sky
11,Narsaq,GL,60.9167,-46.05,32.22,55,98,6.35,overcast clouds
12,Kushmurun,KZ,52.4503,64.6311,53.29,19,9,5.26,clear sky
13,Ponta Do Sol,PT,32.6667,-17.1,70.72,73,19,0.81,few clouds
14,Sitangkai,PH,4.6628,119.3928,82.98,74,86,6.93,moderate rain
15,Ribeira Grande,PT,38.5167,-28.7,68.4,88,20,2.3,few clouds
16,Joshimath,IN,30.5667,79.5667,75.94,48,14,8.32,few clouds
17,Provideniya,RU,64.3833,-173.3,35.04,79,20,12.35,few clouds
18,Longyearbyen,SJ,78.2186,15.6401,39.04,75,75,14.97,broken clouds
19,Souillac,MU,-20.5167,57.5167,77.38,65,75,17.27,broken clouds
20,Sao Joao Da Barra,BR,-21.6403,-41.0511,69.42,85,100,5.68,overcast clouds
21,Bathsheba,BB,13.2167,-59.5167,79.41,89,40,8.05,scattered clouds
22,Mar Del Plata,AR,-38.0023,-57.5575,49.08,85,40,8.05,scattered clouds
23,Rikitea,PF,-23.1203,-134.9692,73.49,73,68,8.28,broken clouds
24,Balikpapan,ID,-1.2675,116.8289,83.39,74,20,4.61,few clouds
25,Medicine Hat,CA,50.0501,-110.6683,52.21,87,20,2.3,few clouds
26,Markova,UA,48.6758,24.4138,49.46,74,93,11.99,overcast clouds
27,Hun,LY,29.1268,15.9477,76.87,50,3,9.26,clear sky
28,Lompoc,US,34.6391,-120.4579,54.59,92,0,0.0,clear sky
29,Mega,ET,4.05,38.3,63.05,56,100,10.33,overcast clouds
30,Arman,RU,59.7,150.1667,35.02,63,100,10.76,overcast clouds
31,Coihaique,CL,-45.5752,-72.0662,47.01,81,0,2.3,clear sky
32,Cape Town,ZA,-33.9258,18.4232,65.1,80,75,12.66,light rain
33,College,US,64.8569,-147.8028,40.8,92,75,8.05,broken clouds
34,Arteni,AM,40.2985,43.7622,70.34,21,96,2.8,overcast clouds
35,Kavieng,PG,-2.5744,150.7967,83.48,73,76,12.75,broken clouds
36,Saldanha,ZA,-33.0117,17.9442,64.45,69,100,11.18,overcast clouds
37,Norman Wells,CA,65.282,-126.8329,32.04,93,75,5.75,broken clouds
38,Constitucion,CL,-35.3333,-72.4167,48.45,88,79,2.46,broken clouds
39,Abu Samrah,SY,35.3029,37.1841,88.61,26,0,7.92,clear sky
40,Alyangula,AU,-13.8483,136.4192,82.18,76,93,11.61,overcast clouds
41,Alekseyevskoye,RU,55.3071,50.1135,63.21,49,95,19.01,overcast clouds
42,Brae,GB,60.3964,-1.353,54.52,90,59,14.05,broken clouds
43,Bluff,NZ,-46.6,168.3333,47.8,62,14,13.73,few clouds
44,Lebu,CL,-37.6167,-73.65,49.28,82,100,2.89,overcast clouds
45,Barrow,US,71.2906,-156.7887,24.82,86,100,9.22,overcast clouds
46,Torbay,CA,47.6666,-52.7314,42.76,87,40,8.05,scattered clouds
47,Bredasdorp,ZA,-34.5322,20.0403,68.02,49,100,19.98,overcast clouds
48,Hambantota,LK,6.1241,81.1185,88.14,62,40,21.85,scattered clouds
49,Beringovskiy,RU,63.05,179.3167,38.5,81,100,12.66,overcast clouds
50,Portland,US,45.5234,-122.6762,66.87,80,0,3.44,clear sky
51,Meulaboh,ID,4.1363,96.1285,82.85,69,89,7.9,light rain
52,Ushuaia,AR,-54.8,-68.3,38.86,70,0,4.61,clear sky
53,Nouadhibou,MR,20.931,-17.0347,71.58,68,3,12.66,mist
54,Arraial Do Cabo,BR,-22.9661,-42.0278,68.45,89,100,6.44,overcast clouds
55,Ancud,CL,-41.8697,-73.8203,47.95,78,100,5.46,overcast clouds
56,Chuy,UY,-33.6971,-53.4616,46.6,79,0,8.12,clear sky
57,Esperance,AU,-33.8667,121.9,55.8,82,100,20.18,overcast clouds
58,Dikson,RU,73.5069,80.5464,33.24,98,100,19.28,light snow
59,Mataura,NZ,-46.1927,168.8643,47.48,86,6,3.24,clear sky
60,Stawell,AU,-37.05,142.7667,55.92,82,100,3.98,overcast clouds
61,Sungairaya,ID,0.7,108.9,78.98,84,100,3.94,overcast clouds
62,Talnakh,RU,69.4865,88.3972,33.21,95,100,14.58,snow
63,Russas,BR,-4.9403,-37.9758,72.03,82,7,4.29,clear sky
64,Albany,US,42.6001,-73.9662,43.43,77,100,4.16,overcast clouds
65,Fare,PF,-16.7,-151.0167,78.62,75,0,17.58,clear sky
66,Coxim,BR,-18.5067,-54.76,76.6,65,99,1.01,overcast clouds
67,Pevek,RU,69.7008,170.3133,29.55,76,100,10.8,overcast clouds
68,Parati,BR,-23.2178,-44.7131,67.05,94,98,1.86,overcast clouds
69,Halifax,CA,44.6453,-63.5724,43.21,84,1,9.22,clear sky
70,Pangnirtung,CA,66.1451,-65.7125,27.9,67,30,1.59,scattered clouds
71,Kapaa,US,22.0752,-159.319,77.32,85,75,12.66,broken clouds
72,Upernavik,GL,72.7868,-56.1549,18.12,83,49,7.02,scattered clouds
73,Port Alfred,ZA,-33.5906,26.891,69.19,73,15,5.01,few clouds
74,Adrar,MR,20.5022,-10.0711,90.21,33,68,5.64,broken clouds
75,Saint George,US,37.1041,-113.5841,70.95,55,0,9.22,clear sky
76,Laguna,US,38.421,-121.4238,64.78,79,0,1.01,clear sky
77,Aykhal,RU,66.0,111.5,19.36,96,100,9.1,overcast clouds
78,Sorland,NO,67.667,12.6934,51.66,82,65,17.67,broken clouds
79,Pocao De Pedras,BR,-4.6667,-44.85,72.95,98,45,2.73,scattered clouds
80,Yar-Sale,RU,66.8333,70.8333,40.23,77,100,17.18,overcast clouds
81,Leningradskiy,RU,69.3833,178.4167,30.22,95,100,6.76,overcast clouds
82,Semporna,MY,4.4818,118.6112,84.31,70,43,6.13,scattered clouds
83,Busselton,AU,-33.65,115.3333,63.18,52,19,5.99,few clouds
84,Riviere-Au-Renard,CA,48.9957,-64.3971,38.79,68,62,7.9,broken clouds
85,Namibe,AO,-15.1961,12.1522,72.59,70,66,11.9,broken clouds
86,Humaita,BR,-7.5061,-63.0208,72.27,86,64,0.43,broken clouds
87,Olutanga,PH,7.3106,122.8464,84.16,68,99,1.97,overcast clouds
88,Blyth,GB,55.1271,-1.5086,52.47,92,75,4.61,broken clouds
89,Kodiak,US,57.79,-152.4072,45.91,76,0,8.05,clear sky
90,Fukue,JP,32.6881,128.8419,79.16,83,20,12.66,few clouds
91,Grindavik,IS,63.8424,-22.4338,43.27,87,40,13.8,scattered clouds
92,Cherskiy,RU,68.75,161.3,26.31,81,99,8.9,overcast clouds
93,Viedma,AR,-40.8135,-62.9967,46.18,79,95,14.41,overcast clouds
94,Dunda,TZ,-8.1167,34.25,86.77,19,88,5.28,overcast clouds
95,Tiksi,RU,71.6872,128.8694,24.24,84,99,9.84,overcast clouds
96,Petropavlovsk-Kamchatskiy,RU,53.0452,158.6483,43.39,76,75,4.47,broken clouds
97,Manoel Urbano,BR,-8.8389,-69.2597,72.48,87,90,1.45,overcast clouds
98,Punta Arenas,CL,-53.15,-70.9167,41.11,81,100,9.22,overcast clouds
99,Rawson,AR,-43.3002,-65.1023,47.59,78,100,18.81,overcast clouds
100,Coos Bay,US,43.3665,-124.2179,57.31,94,100,4.61,overcast clouds
101,Alofi,NU,-19.0595,-169.9187,71.49,78,20,4.61,few clouds
102,Asosa,ET,10.0667,34.5333,70.92,78,93,2.95,light rain
103,Erzin,TR,36.9559,36.2,85.39,51,1,6.08,clear sky
104,Pincher Creek,CA,49.4833,-113.952,45.05,93,0,9.22,clear sky
105,Tuktoyaktuk,CA,69.4541,-133.0374,24.58,84,97,5.1,overcast clouds
106,Tuatapere,NZ,-46.1333,167.6833,40.98,76,8,5.44,clear sky
107,Hobyo,SO,5.3505,48.5268,82.94,65,19,21.54,few clouds
108,Fuyang,CN,32.9,115.8167,92.97,46,94,18.81,overcast clouds
109,Bethel,US,41.3712,-73.414,50.36,67,100,5.01,overcast clouds
110,Saint-Augustin,CA,51.226,-58.6502,33.42,62,34,9.44,scattered clouds
111,Gogrial,SS,8.5332,28.1004,90.05,47,64,7.34,broken clouds
112,Uzhur,RU,55.3036,89.8339,42.89,35,18,5.37,few clouds
113,Hemsedal,NO,60.8629,8.5534,46.15,68,19,5.17,few clouds
114,La Asuncion,VE,11.0333,-63.8628,80.33,94,97,4.61,overcast clouds
115,Vaitape,PF,-16.5167,-151.75,78.71,74,1,17.74,clear sky
116,Amarante Do Maranhao,BR,-5.5667,-46.7422,70.14,60,28,4.03,scattered clouds
117,Vaini,TO,-21.2,-175.2,75.36,83,75,8.05,broken clouds
118,Chokurdakh,RU,70.6333,147.9167,22.89,68,100,7.72,overcast clouds
119,Yauya,PE,-8.9833,-77.3,45.36,80,77,2.44,broken clouds
120,Glubokiy,RU,48.5217,40.3258,62.46,46,58,14.07,broken clouds
121,Nome,US,64.5011,-165.4064,41.07,65,100,9.22,overcast clouds
122,Xapuri,BR,-10.6517,-68.5044,73.17,77,81,1.48,broken clouds
123,Puri,IN,19.8,85.85,84.72,74,95,7.96,overcast clouds
124,Puerto Ayora,EC,-0.7393,-90.3518,62.55,100,99,1.01,overcast clouds
125,Turbat,PK,26.0023,63.044,96.75,24,0,6.82,clear sky
126,Butaritari,KI,3.0707,172.7902,81.97,71,13,14.47,few clouds
127,Hirara,JP,24.8,125.2833,84.47,74,40,11.5,scattered clouds
128,Isangel,VU,-19.55,169.2667,76.59,72,73,4.99,broken clouds
129,Linhai,CN,28.85,121.1167,83.12,79,3,5.12,clear sky
130,Opuwo,NA,-18.0607,13.84,91.33,12,3,14.65,clear sky
131,Palauig,PH,15.435,119.9045,83.84,73,100,2.64,overcast clouds
132,Bathurst,AU,-33.4166,149.5806,50.0,77,75,1.28,broken clouds
133,Dali,CN,25.7,100.1833,70.21,79,100,4.05,overcast clouds
134,Doha,QA,25.2867,51.5333,97.11,57,0,9.22,clear sky
135,Sinegorye,RU,62.0788,150.477,19.9,97,100,4.65,light snow
136,Keti Bandar,PK,24.1447,67.4497,86.16,56,12,13.02,few clouds
137,La Ronge,CA,55.1001,-105.2842,53.85,47,20,4.61,few clouds
138,El Escorial,ES,40.5914,-4.1474,72.1,38,57,1.86,broken clouds
139,Jamestown,US,42.097,-79.2353,42.44,74,0,6.91,clear sky
140,Kizukuri,JP,40.8061,140.3861,72.01,74,98,6.69,overcast clouds
141,Port Elizabeth,ZA,-33.918,25.5701,69.1,68,20,26.46,few clouds
142,Gat,IL,31.61,34.7642,91.4,100,0,11.36,clear sky
143,Mount Isa,AU,-20.7333,139.5,91.17,18,44,9.22,scattered clouds
144,Yellowknife,CA,62.456,-114.3525,27.12,93,0,0.0,clear sky
145,Avarua,CK,-21.2078,-159.775,73.45,64,75,16.11,broken clouds
146,Guerrero Negro,MX,27.9769,-114.0611,68.16,79,83,14.05,broken clouds
147,Jumla,NP,29.2747,82.1838,70.72,50,51,7.14,broken clouds
148,Luderitz,NA,-26.6481,15.1594,71.65,42,0,23.96,clear sky
149,Nobeoka,JP,32.5833,131.6667,74.98,86,18,5.53,few clouds
150,Hobart,AU,-42.8794,147.3294,52.27,79,75,13.8,broken clouds
151,Victoria,HK,22.2855,114.1577,90.97,70,9,8.99,clear sky
152,Hermanus,ZA,-34.4187,19.2345,62.89,71,100,20.09,light rain
153,Moose Factory,CA,51.2585,-80.6094,46.4,66,20,11.5,few clouds
154,Buala,SB,-8.145,159.5921,81.09,80,32,3.87,light rain
155,Serik,TR,36.9169,31.0989,87.75,31,0,5.41,clear sky
156,Labuan,MY,5.2767,115.2417,84.56,79,20,7.0,thunderstorm
157,Nemuro,JP,43.3236,145.575,63.28,78,100,16.93,overcast clouds
158,Wasilla,US,61.5814,-149.4394,46.74,87,100,5.75,overcast clouds
159,Hualmay,PE,-11.0964,-77.6139,60.87,88,67,7.49,broken clouds
160,Atasu,KZ,48.6814,71.6433,52.97,16,0,12.73,clear sky
161,Huaiyin,CN,33.5886,119.0192,92.77,47,51,7.7,broken clouds
162,Salalah,OM,17.0151,54.0924,82.49,74,75,12.66,broken clouds
163,Kaitangata,NZ,-46.2817,169.8464,40.06,75,18,6.49,few clouds
164,Lavrentiya,RU,65.5833,-171.0,34.66,82,11,8.12,few clouds
165,Kahului,US,20.8947,-156.47,78.82,86,100,9.22,overcast clouds
166,Kroya,ID,-7.6331,109.2461,79.25,83,100,8.48,overcast clouds
167,Lorengau,PG,-2.0226,147.2712,82.26,74,37,8.88,scattered clouds
168,Cedral,MX,23.8,-100.7333,59.2,81,100,9.48,overcast clouds
169,Vila Franca Do Campo,PT,37.7167,-25.4333,73.2,81,43,9.91,scattered clouds
170,Semirom,IR,31.4167,51.5667,72.3,11,0,10.38,clear sky
171,Abashiri,JP,44.0213,144.2697,64.69,72,40,16.11,scattered clouds
172,Wilmington Island,US,32.0036,-80.9737,62.98,71,20,6.91,few clouds
173,Red Bluff,US,40.1785,-122.2358,65.08,59,0,4.61,clear sky
174,Cidreira,BR,-30.1811,-50.2056,56.23,93,6,6.13,clear sky
175,Terrasini,IT,38.146,13.0844,79.72,62,20,5.75,few clouds
176,Hofn,IS,64.2539,-15.2082,50.02,93,100,9.22,light intensity drizzle
177,Kirakira,SB,-10.4544,161.9205,79.99,83,27,6.04,scattered clouds
178,Bubaque,GW,11.2833,-15.8333,80.92,76,93,7.58,light rain
179,Batemans Bay,AU,-35.7167,150.1833,61.11,78,100,5.5,overcast clouds
180,Villa Florida,PY,-26.3833,-57.15,53.87,88,0,4.92,clear sky
181,Muskegon,US,43.3,-86.1334,44.94,87,0,4.61,mist
182,Nizwa,OM,22.9333,57.5333,95.7,18,19,10.71,few clouds
183,Soderhamn,SE,61.3037,17.0592,48.96,80,100,6.53,overcast clouds
184,Tasiilaq,GL,65.6145,-37.6368,35.76,99,100,1.9,light rain
185,Bowen,AU,-20.0167,148.2333,74.97,75,93,19.6,overcast clouds
186,Steinbach,DE,50.1667,8.5667,56.64,85,75,6.91,broken clouds
187,Hasaki,JP,35.7333,140.8333,80.22,65,96,7.85,overcast clouds
188,Cabo San Lucas,MX,22.8909,-109.9124,80.51,64,55,3.0,broken clouds
189,Cap-Aux-Meules,CA,47.3821,-61.8597,44.62,70,6,9.22,clear sky
190,Darhan,MN,49.4867,105.9228,42.51,26,15,7.11,few clouds
191,Vardo,NO,70.3705,31.1107,40.98,81,40,3.44,scattered clouds
192,Aswan,EG,24.0934,32.907,99.18,15,0,2.57,clear sky
193,Oranjemund,NA,-28.55,16.4333,62.74,65,3,15.32,clear sky
194,Nikolskoye,RU,59.7035,30.7861,46.29,75,100,15.17,overcast clouds
195,Boa Vista,BR,2.8197,-60.6733,73.38,94,75,4.61,broken clouds
196,Manzhouli,CN,49.6,117.4333,35.4,20,100,15.32,overcast clouds
197,Bethanien,NA,-26.502,17.1583,85.26,12,6,2.04,clear sky
198,Pochutla,MX,15.7432,-96.4661,73.81,83,74,4.36,broken clouds
199,Mahajanga,MG,-15.7167,46.3167,91.42,29,0,8.05,clear sky
200,New Norfolk,AU,-42.7826,147.0587,51.71,53,100,1.99,overcast clouds
201,Broome,US,42.2506,-75.833,44.6,80,0,3.44,clear sky
202,Severo-Kurilsk,RU,50.6789,156.125,48.06,80,100,7.9,overcast clouds
203,Cuamba,MZ,-14.8031,36.5372,92.41,25,0,4.52,clear sky
204,Port Blair,IN,11.6667,92.75,86.04,74,75,6.91,broken clouds
205,Espanola,US,35.9911,-106.0806,63.14,92,92,1.32,overcast clouds
206,Yichun,CN,47.7,128.9,34.05,90,100,3.6,overcast clouds
207,Sloboda,RU,51.1421,40.3021,54.39,64,97,19.39,overcast clouds
208,Labuhan,ID,-6.8844,112.2051,81.9,76,100,1.74,heavy intensity rain
209,Coahuayana,MX,18.7333,-103.6833,74.26,96,100,3.56,overcast clouds
210,Japura,ID,-0.3167,102.35,83.62,72,100,2.62,overcast clouds
211,Muscat,OM,23.6139,58.5922,91.42,53,0,12.26,clear sky
212,Langres,FR,47.8333,5.3333,50.2,93,84,7.58,broken clouds
213,Verkhoyansk,RU,67.5447,133.385,21.33,91,100,1.83,overcast clouds
214,Jinxiang,CN,27.4327,120.6062,81.57,78,0,7.38,clear sky
215,Taoudenni,ML,22.6783,-3.9836,95.14,21,35,15.61,scattered clouds
216,Yulara,AU,-25.2406,130.9889,84.04,28,70,17.27,broken clouds
217,Novoraychikhinsk,RU,49.7798,129.594,36.81,47,52,10.67,broken clouds
218,Carnarvon,AU,-24.8667,113.6333,73.54,49,0,19.91,clear sky
219,Semey,KZ,50.4111,80.2275,53.82,20,0,4.47,clear sky
220,Zalantun,CN,48.0,122.7167,42.1,29,28,15.88,scattered clouds
221,Dronninglund,DK,57.1604,10.2929,56.95,71,68,16.62,broken clouds
222,Korla,CN,41.7597,86.1469,60.69,12,0,10.74,clear sky
223,Ajaigarh,IN,24.9,80.2667,89.96,45,100,5.21,overcast clouds
224,Karratha,AU,-20.7377,116.8463,79.41,39,0,22.06,clear sky
225,Ponferrada,ES,42.5466,-6.5962,71.01,41,35,0.69,scattered clouds
226,Kawambwa,ZM,-9.7915,29.0791,88.36,16,31,4.32,scattered clouds
227,Alice Town,BS,25.7167,-79.3,79.88,73,25,14.25,scattered clouds
228,Santa Ana,US,33.7456,-117.8678,67.91,85,0,1.01,clear sky
229,Acara,BR,-1.9608,-48.1967,71.98,99,47,1.36,scattered clouds
230,Altus,US,34.6381,-99.334,59.56,50,0,6.91,clear sky
231,Jieshi,CN,22.8134,115.8257,83.44,74,2,9.82,clear sky
232,Zyryanka,RU,65.75,150.85,24.46,84,92,6.24,overcast clouds
233,Havre-Saint-Pierre,CA,50.2334,-63.5986,41.0,80,100,4.61,overcast clouds
234,Carutapera,BR,-1.195,-46.02,77.32,82,85,6.87,overcast clouds
235,Touros,BR,-5.1989,-35.4608,75.63,75,14,12.44,few clouds
